DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,21031000,Soya sauce,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,21039090,Other,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,21041000,Soups and broths and preparations therefor,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,22029911,Soya-based beverages with a protein content of 2.8 % or more by weight,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Felixstowe  P,JP,Japan,GB,GB,22090099,More than 2|litres,78,1314,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Heathrow,JP,Japan,GB,GB,7095990,Other,2,5.8,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,JP,Heathrow,JP,Japan,GB,GB,7099990,Other,2,5.8,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,US,Liverpool,US,China,NL,GB,9023000,Black tea (fermented) and partly fermented tea in immediate packings of a content not exceeding 3|kg,138,8.63,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,520,13000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042200,Crushed or ground,100,1000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042190,Other,800,12000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Felixstowe  P,IN,India,GB,GB,9042190,Other,20,40,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Aflatoxins,satisfactory,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Heathrow,IN,India,GB,GB,7099990,Other,690,2510,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,IN,Heathrow,IN,India,GB,GB,7099990,Other,830,2790,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,ES,GB,8061010,Table grapes,2448,10771.2,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,2017-06,1
2017-06-01,2017,Q2,Jun,1,2017-06,-,EG,Felixstowe  P,EG,Egypt,ES,GB,8061010,Table grapes,2448,10771.2,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,Eth?phon,satisfactory,Human consumption,-,-,2017-06,1
