DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,80,2000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,220,5500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,460,11500,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,24,21600,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,24,21600,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,IN,"Felixstowe, P",GB,India,GB,GB,20081110,Peanut butter,3900,23400,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-07,2018,Q4,Dec,7,2018-12,NZ,London Gateway,GB,New Zealand,GB,GB,20081110,Peanut butter,58,266,Human consumption,Not satisfactory,-,Destruction,/,/,no,-,-,-,-,Absence/Invalid certificate (if applicable),1
2018-12-07,2018,Q4,Dec,7,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,480,12000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-12-10,2018,Q4,Dec,10,2018-12,CN,London Gateway,GB,China,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,1708,17080,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-12-11,2018,Q4,Dec,11,2018-12,TR,London Gateway,GB,Turkey,GB,GB,2008999990,Other,5880,7203,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
