CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-24,2020,Q2,4,24,China,2020-04-26,9022000,Other green tea (not fermented),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,24200,24508,No,-,-,2020-05-11,2020,Q2,5,11
"Coffee, tea, mate and spices",2020-04-27,2020,Q2,4,27,India,2020-04-11,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,270,345,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,India,2020-04-28,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,1000,1011,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,India,2020-04-28,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,17000,17190,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-05-06,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,22000,22280,No,-,-,2020-05-14,2020,Q2,5,14
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,India,2020-04-28,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3645,3713,No,-,-,2020-05-20,2020,Q2,5,20
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,22440,22748,No,-,-,2020-05-06,2020,Q2,5,6
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9022000,Other green tea (not fermented),Yes,Satisfactory,No,-,No,-,No,-,20000,20300,No,-,-,2020-05-14,2020,Q2,5,14
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,Viet Nam,2020-04-29,9081200,Crushed or ground,No,-,No,-,No,-,No,-,11625,12250,No,-,-,,2020,Q2,4,
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9024000,Other black tea (fermented) and other partly fermented tea,Yes,Satisfactory,No,-,No,-,No,-,10000,10150,No,-,-,2020-05-21,2020,Q2,5,21
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-05-09,904220011,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,25000,25200,No,-,-,2020-05-18,2020,Q2,5,18
"Coffee, tea, mate and spices",2020-04-29,2020,Q2,4,29,China,2020-04-29,9024000,Other black tea (fermented) and other partly fermented tea,No,-,No,-,No,-,No,-,449500,542,No,-,-,,2020,Q2,4,
